"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std","w3income_1k"
"0777011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,40,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,52.56,0.2114282579322,37.5005
"0777012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,54,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,63.43,35.78,"$35,001 TO $40,000",37500.5,0,0,60.763,1.05587253474476,37.5005
"0777013C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.196,1.20339035123536,NA
"0777015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,63.43,63.43,"$40,001 TO $50,000",45000.5,0,0,68.657,1.86850731728265,45.0005
"0777016C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,30,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,33.42,NA,"$75,001 TO $100,000",87500.5,0,0,49.817,-0.0709453433474355,87.5005
"0777017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,53.5,"$25,001 TO $30,000",27500.5,0,0,42.263,-0.848579387848481,27.5005
"0777019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,37,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,65.209,1.51355865625014,87.5005
"0777022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$25,001 TO $30,000",27500.5,0,0,45.757,-0.488895332846277,27.5005
"0777023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,45,"VOC/TECH PROGRAM","BACHELOR'S DEGREE",1,0,61.56,35.78,"$35,001 TO $40,000",37500.5,0,0,49.043,-0.15062349405485,37.5005
"0779001C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.393,0.297180066122479,NA
"0779002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,39,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.2,"$40,001 TO $50,000",45000.5,0,0,60.152,0.992974149625599,45.0005
"0779003C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,42,43,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,38.18,NA,"$35,001 TO $40,000",37500.5,0,NA,44.481,-0.620251043831626,37.5005
"0779004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,41,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,34.95,"$10,001 TO $15,000",12500.5,1,1,44.566,-0.611500859322414,12.5005
"0779007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,32,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,48.69,"$50,001 TO $75,000",62500.5,0,0,45.624,-0.502586798019514,62.5005
"0779009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$40,001 TO $50,000",45000.5,0,0,43.579,-0.713105942976443,45.0005
"0779010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,39,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,34.95,39.18,"$40,001 TO $50,000",45000.5,0,0,60.26,1.00409203111966,45.0005
"0779012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,60.365,1.01490108257221,62.5005
"0779013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,38,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.2,"$50,001 TO $75,000",62500.5,0,0,60.609,1.04001925928101,62.5005
"0779014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,30,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,41.201,-0.957905222540049,37.5005
"0779015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,30,"9TH - 12TH GRADE","BACHELOR'S DEGREE",1,0,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,42.371,-0.837461506354423,62.5005
"0779016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,53.5,38.18,"$35,001 TO $40,000",37500.5,0,0,62.378,1.22212604041979,37.5005
"0779019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,45,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,34.95,64.89,"$75,001 TO $100,000",87500.5,0,0,52.859,0.242208318735194,87.5005
"0779020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,44,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,53.5,"$75,001 TO $100,000",87500.5,0,0,61.314,1.11259431903389,87.5005
"0779022C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,35,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,57.83,39.2,"$50,001 TO $75,000",62500.5,0,0,42.682,-0.805446125385423,62.5005
"0779023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,35,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,34.95,39.2,"$30,001 TO $35,000",32500.5,0,0,51.743,0.127323543296596,32.5005
"0779024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$25,001 TO $30,000",27500.5,0,0,59.08,0.882618881462358,27.5005
"0781001C",0,"ASIAN",0,0,0,1,1,40,44,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,62.87,"$35,001 TO $40,000",37500.5,0,0,64.608,1.45168970460265,37.5005
"0781006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,53.462,0.304283157077017,12.5005
"0781015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,42,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,56.025,0.568126955866555,87.5005
"0782001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,52,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,64.89,"$100,001 TO $200,000",150000.5,0,0,58.55,0.828058907463741,150.0005
"0782004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,41,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,77.5,"$200,001 TO $200,001",200001,0,0,65.96,1.59086910997271,200.001
"0782006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,52,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,64.89,"$100,001 TO $200,000",150000.5,0,0,55.491,0.51315520847927,150.0005
"0783002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,39.18,"$35,001 TO $40,000",37500.5,0,0,54.415,0.40238816692736,37.5005
"0783003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,37,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,57.83,57.83,"$40,001 TO $50,000",45000.5,0,0,45.497,-0.515660603109749,45.0005
"0783004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,35.92,"$20,001 TO $25,000",22500.5,0,0,39.453,-1.13785019338832,22.5005
"0783006C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$25,001 TO $30,000",27500.5,0,0,48.19,-0.238434169188474,27.5005
"0783009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,29.6,"$25,001 TO $30,000",27500.5,0,0,52.074,0.16139779120894,27.5005
"0783010C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.319,0.701335647100915,NA
"0783011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,48,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.78,35.78,"$40,001 TO $50,000",45000.5,0,0,65.476,1.54104452994378,45.0005
"0783012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,59,39.18,"$35,001 TO $40,000",37500.5,0,0,54.699,0.431624077522845,37.5005
"0783013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,44.518,-0.61644213998644,62.5005
"0783014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,37,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,53.5,38.18,"$50,001 TO $75,000",62500.5,0,0,57.185,0.68754123858051,62.5005
"0783018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,43,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,64.295,1.41946843693932,62.5005
"0783019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,33,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,50.825,0.0328215505971045,62.5005
"0783020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,57.83,"$50,001 TO $75,000",62500.5,0,0,58.195,0.791514019219384,62.5005
"0783022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,59,"$50,001 TO $75,000",62500.5,0,0,53.497,0.307886174227868,62.5005
"0783023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,57.83,NA,"$40,001 TO $50,000",45000.5,0,0,57.847,0.755689734405198,45.0005
"0783024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,62.87,NA,"$75,001 TO $100,000",87500.5,0,0,58.548,0.827853020769407,87.5005
"0785001C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,2,31,25,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.78,34.95,"$15,001 TO $20,000",17500.5,1,1,56.874,0.65552585761151,17.5005
"0785002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,47,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,48.69,"$40,001 TO $50,000",45000.5,0,0,53.439,0.301915460092171,45.0005
"0785003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,52.54,62.87,"$75,001 TO $100,000",87500.5,0,0,49.212,-0.133226068383593,87.5005
"0785005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.476,-1.44431253790508,NA
"0785006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,61.56,72.1,"$100,001 TO $200,000",150000.5,0,0,64.7,1.46116049254203,150.0005
"0785007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,49,55,"DOCTORATE OR PROFESSIONAL DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,72.1,72.1,"$100,001 TO $200,000",150000.5,0,0,60.701,1.04949004722039,150.0005
"0785008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,33.42,"$40,001 TO $50,000",45000.5,0,0,48.455,-0.211154182189165,45.0005
"0785010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,59,35.78,"$75,001 TO $100,000",87500.5,0,0,64.034,1.39260022332868,87.5005
"0785011C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,35,50,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,53.5,"$100,001 TO $200,000",150000.5,0,0,48.935,-0.161741375548908,150.0005
"0785013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$100,001 TO $200,000",150000.5,0,0,61.324,1.11362375250556,150.0005
"0785014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$200,001 TO $200,001",200001,0,0,56.165,0.582539024469964,200.001
"0785015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,35.78,"$50,001 TO $75,000",62500.5,0,0,60.079,0.985459285282393,62.5005
"0785018C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,2,26,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$20,001 TO $25,000",22500.5,0,1,40.542,-1.02574488832324,22.5005
"0785020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,63.527,1.34040794631491,87.5005
"0788002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.2,"$35,001 TO $40,000",37500.5,0,0,47.478,-0.311729832371521,37.5005
"0788003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,37,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,39.18,"$75,001 TO $100,000",87500.5,0,0,53.691,0.327857183578306,87.5005
"0788006C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.209,-0.339421592759499,NA
"0788010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.18,"$75,001 TO $100,000",87500.5,0,0,61.94,1.17703685436056,87.5005
"0788011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,36,"9TH - 12TH GRADE","NOT APPLICABLE",1,NA,NA,35.92,"$30,001 TO $35,000",32500.5,0,0,52.243,0.178795216880197,32.5005
"0788013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$75,001 TO $100,000",87500.5,0,0,45.184,-0.547881870773083,87.5005
"0788016C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.864,-0.271993700364982,NA
"0788018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,38,"MASTER'S DEGREE (MA, MS)","VOC/TECH PROGRAM",0,1,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,53.658,0.324460053121788,150.0005
"0788020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,56.574,0.624642853461349,7.5005
"0788022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,34.95,"$50,001 TO $75,000",62500.5,0,0,55.072,0.470021946016212,62.5005
"0788023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$40,001 TO $50,000",45000.5,0,0,43.369,-0.734724045881555,45.0005
"0789001C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,32,52,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,53.5,"$35,001 TO $40,000",37500.5,0,0,54.204,0.38066712067508,37.5005
"0789002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,63,66,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,NA,"$15,001 TO $20,000",17500.5,0,0,53.92,0.351431210079595,17.5005
"0789003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,"NOT APPLICABLE","8TH GRADE OR BELOW",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,52.781,0.234178737656152,7.5005
"0789004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.18,"$40,001 TO $50,000",45000.5,0,0,37.911,-1.29658883472014,45.0005
"0789007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,38,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,NA,35.92,"$35,001 TO $40,000",37500.5,0,0,54.288,0.389314361837125,37.5005
"0789008C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,33,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$20,001 TO $25,000",22500.5,0,0,42.937,-0.779195571857787,22.5005
"0789010C",0,"WHITE, NON-HISPANIC",1,0,0,0,3,58,55,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,33.42,38.18,"$5,001 TO $10,000",7500.5,1,0,54.258,0.38622606142211,7.5005
"0789012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,35,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,53.5,"$40,001 TO $50,000",45000.5,0,0,41.848,-0.89130087692287,45.0005
"0789013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,30,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$15,001 TO $20,000",17500.5,1,0,55.859,0.5510383602368,17.5005
"0789014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,63.43,63.43,"$50,001 TO $75,000",62500.5,0,0,56.651,0.632569491193224,62.5005
"0789015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$20,001 TO $25,000",22500.5,0,0,43.294,-0.742444796919096,22.5005
"0789017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,39,"SOME COLLEGE","SOME COLLEGE",0,0,61.56,48.69,"$50,001 TO $75,000",62500.5,0,0,53.983,0.357916640951128,62.5005
"0789018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,36,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,34.95,39.2,"$25,001 TO $30,000",27500.5,0,0,37.221,-1.36761974426551,27.5005
"0789019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,41,"9TH - 12TH GRADE","NOT APPLICABLE",1,NA,NA,NA,"$20,001 TO $25,000",22500.5,1,1,40.538,-1.0261566617119,22.5005
"0789020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,39.2,"$15,001 TO $20,000",17500.5,1,0,47.174,-0.343024609910351,17.5005
"0789021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,35.92,"$25,001 TO $30,000",27500.5,0,0,49.003,-0.154741227941538,27.5005
"0789022C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,32,52,"8TH GRADE OR BELOW","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.63,"$35,001 TO $40,000",37500.5,0,0,53.676,0.326313033370798,37.5005
"0789023C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,38,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,35.78,NA,"$30,001 TO $35,000",32500.5,0,0,42.584,-0.815534573407809,32.5005
"0789024C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.275,-1.05323076201688,NA
"0790002C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,41,45,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,48.69,35.78,"$100,001 TO $200,000",150000.5,0,0,63.177,1.30437777480639,150.0005
"0790004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.235,1.61917853044369,NA
"0790007C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,46,NA,"NOT APPLICABLE","DOCTORATE OR PROFESSIONAL DEGREE",NA,0,NA,NA,"$50,001 TO $75,000",62500.5,0,0,66.686,1.6656059800161,62.5005
"0790009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,32,"SOME COLLEGE","SOME COLLEGE",0,0,NA,34.95,"$75,001 TO $100,000",87500.5,0,0,61.383,1.11969740998842,87.5005
"0790014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,47,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,77.5,77.5,"$200,001 TO $200,001",200001,0,0,61.86,1.16880138658718,200.001
"0790015C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,39,"SOME COLLEGE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,48.69,35.78,"$75,001 TO $100,000",87500.5,0,0,58.687,0.842162146025647,87.5005
"0790016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,55,55,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,49.151,-0.139505612560792,62.5005
"0790018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,48.69,"$35,001 TO $40,000",37500.5,0,0,38.898,-1.19498375106612,37.5005
"0790019C",0,"WHITE, NON-HISPANIC",1,0,0,0,5,NA,36,"BACHELOR'S DEGREE","NOT APPLICABLE",0,NA,NA,64.89,"$50,001 TO $75,000",62500.5,0,0,58.168,0.78873454884587,62.5005
"0790020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,44,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,70.585,2.06698209062102,62.5005
"0790021C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,48,47,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,35.78,"$75,001 TO $100,000",87500.5,0,0,60.244,1.00244493756498,87.5005
"0790022C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,33,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,57.83,NA,"$10,001 TO $15,000",12500.5,1,0,58.187,0.790690472442046,12.5005
"0790024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,47,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,63.43,57.83,"$50,001 TO $75,000",62500.5,0,0,70.927,2.1021887153522,62.5005
"0792001C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,32,44,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.63,"$20,001 TO $25,000",22500.5,1,0,52.343,0.189089551596917,22.5005
"0792003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,53.5,"$25,001 TO $30,000",27500.5,0,0,48.054,-0.252434464403213,27.5005
"0792004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.053,-1.59080092092401,NA
"0792005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,29,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.63,"$25,001 TO $30,000",27500.5,0,0,44.654,-0.6024418447717,27.5005
"0792006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,43,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.92,35.92,"$40,001 TO $50,000",45000.5,0,0,55.322,0.495757782808013,45.0005
"0792007C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.502,-0.721032580708317,NA
"0792008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,39.2,"$25,001 TO $30,000",27500.5,0,0,40.584,-1.02142126774221,27.5005
"0792010C",0,"WHITE, NON-HISPANIC",1,0,0,0,3,24,34,"SOME COLLEGE","SOME COLLEGE",0,0,33.42,33.42,"$15,001 TO $20,000",17500.5,1,0,47.599,-0.29927368736429,17.5005
